Name,Test Matches,Test Runs,Test Wickets,Test Catches,ODI Matches,ODI Runs,ODI Wickets,ODI Catches,T20 Matches,T20 Runs,T20 Wickets,T20 Catches,Total Matches,Total Runs,Total Wickets,Total Catches,Runs + Wickets + Catches
Rajinder Ghai,0,0,0,0,6,1,3,0,0,0,0,0,6,1,3,0,4
Thangarasu Natarajan,1,1,3,0,0,0,0,0,0,0,0,0,1,1,3,0,4
Naoomal Jeoomal,3,108,2,0,0,0,0,0,0,0,0,0,3,108,2,0,110
Ajit Pai,1,10,2,0,0,0,0,0,0,0,0,0,1,10,2,0,12
Varun Chakravarthy,0,0,0,0,0,0,0,0,3,0,2,0,3,0,2,0,2
Manpreet Gony,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,2
Rakesh Shukla,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2
Gopal Bose,0,0,0,0,1,13,1,0,0,0,0,0,1,13,1,0,14
Sanjay Raul,0,0,0,0,2,8,1,0,0,0,0,0,2,8,1,0,9
Nirode Chowdhury,2,3,1,0,0,0,0,0,0,0,0,0,2,3,1,0,4
Sandeep Sharma,0,0,0,0,0,0,0,0,2,1,1,0,2,1,1,0,2
Dhiraj Parsana,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,2
Randhir Singh,0,0,0,0,2,0,1,0,0,0,0,0,2,0,1,0,1
Sreenath Aravind,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
Sudhir Naik,3,141,0,0,2,38,0,0,0,0,0,0,5,179,0,0,179
Cotah Ramaswami,2,170,0,0,0,0,0,0,0,0,0,0,2,170,0,0,170
Khanmohammad Ibrahim,4,169,0,0,0,0,0,0,0,0,0,0,4,169,0,0,169
Gagan Khoda,0,0,0,0,2,115,0,0,0,0,0,0,2,115,0,0,115
Hemant Kanitkar,2,111,0,0,0,0,0,0,0,0,0,0,2,111,0,0,111
Ambar Roy,4,91,0,0,0,0,0,0,0,0,0,0,4,91,0,0,91
V. B. Chandrasekhar,0,0,0,0,7,88,0,0,0,0,0,0,7,88,0,0,88
Abdul Hafeez,3,80,0,0,0,0,0,0,0,0,0,0,3,80,0,0,80
Ramnath Parkar,2,80,0,0,0,0,0,0,0,0,0,0,2,80,0,0,80
T. E. Srinivasan,1,48,0,0,2,10,0,0,0,0,0,0,3,58,0,0,58
Faiz Fazal,0,0,0,0,1,55,0,0,0,0,0,0,1,55,0,0,55
Devdutt Padikkal,0,0,0,0,0,0,0,0,2,38,0,0,2,38,0,0,38
Phiroze Palia,2,29,0,0,0,0,0,0,0,0,0,0,2,29,0,0,29
Kanwar Rai Singh,1,26,0,0,0,0,0,0,0,0,0,0,1,26,0,0,26
Ramesh Saxena,1,25,0,0,0,0,0,0,0,0,0,0,1,25,0,0,25
Nitish Rana,0,0,0,0,1,7,0,0,2,15,0,0,3,22,0,0,22
Hiralal Gaekwad,1,22,0,0,0,0,0,0,0,0,0,0,1,22,0,0,22
L. P. Jai,1,19,0,0,0,0,0,0,0,0,0,0,1,19,0,0,19
Amir Elahi,1,17,0,0,0,0,0,0,0,0,0,0,1,17,0,0,17
Sujith Somasunder,0,0,0,0,2,16,0,0,0,0,0,0,2,16,0,0,16
Baqa Jilani,1,16,0,0,0,0,0,0,0,0,0,0,1,16,0,0,16
Arvind Apte,1,15,0,0,0,0,0,0,0,0,0,0,1,15,0,0,15
Abhijit Kale,0,0,0,0,1,10,0,0,0,0,0,0,1,10,0,0,10
Apoorva Sengupta,1,9,0,0,0,0,0,0,0,0,0,0,1,9,0,0,9
Pankaj Dharmani,0,0,0,0,1,8,0,0,0,0,0,0,1,8,0,0,8
Rajinder Pal,1,6,0,0,0,0,0,0,0,0,0,0,1,6,0,0,6
Kenia Jayantilal,1,5,0,0,0,0,0,0,0,0,0,0,1,5,0,0,5
Gyanendra Pandey,0,0,0,0,2,4,0,0,0,0,0,0,2,4,0,0,4
Man Sood,1,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3
Keki Tarapore,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2
Abhishek Nayar,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
Parvinder Awana,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
Mayank Markande,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Sandeep Warrier,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Narain Swamy,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Vijay Rajindernath,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mahendra Singh Dhoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anil Kumble1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashish Nehra1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
